route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811285-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124312,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811286-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124316,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811287-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124314,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811288-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124313,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811289-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124315,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811290-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811291-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124319,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811292-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124320,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811293-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811294-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124317,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811295-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811296-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811297-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811298-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124315,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811299-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
