route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,peak_offpeak,boarding_type
line:61,1900444,27_1197844,Balma-Gramont,0,11970,0,0
line:61,1900445,27_1197845,Balma-Gramont,0,11970,0,0
line:61,1900446,27_1197846,Balma-Gramont,0,11970,0,0
line:61,1900447,27_1197847,Balma-Gramont,0,11970,0,0
line:61,1900448,27_1197848,Balma-Gramont,0,11970,0,0
line:61,1900449,27_1197849,Balma-Gramont,0,11970,0,0
line:61,1900450,27_1197850,Balma-Gramont,0,11970,0,0
line:61,1900451,27_1197851,Balma-Gramont,0,11970,0,0
line:61,1900452,27_1197852,Balma-Gramont,0,11970,0,0
line:61,1900453,27_1197853,Balma-Gramont,0,11970,0,0
line:61,1900454,27_1197854,Balma-Gramont,0,11970,0,0
line:61,1900455,27_1197855,Balma-Gramont,0,11970,0,0
line:61,1900456,27_1197856,Balma-Gramont,0,11970,0,0
line:61,1900457,27_1197857,Balma-Gramont,0,11970,0,0
line:61,1900458,27_1197858,Balma-Gramont,0,11970,0,0
line:61,1900459,27_1197859,Balma-Gramont,0,11970,0,0
line:61,1900460,27_1197860,Balma-Gramont,0,11970,0,0
line:61,1900461,27_1197861,Balma-Gramont,0,11970,0,0
line:61,1900462,27_1197862,Balma-Gramont,0,11970,0,0
line:61,1900463,27_1197863,Balma-Gramont,0,11970,0,0
line:61,1900464,27_1197864,Balma-Gramont,0,11970,0,0
line:61,1900465,27_1197865,Balma-Gramont,0,11970,0,0
line:61,1900466,27_1197866,Balma-Gramont,0,11970,0,0
line:61,1900467,27_1197867,Balma-Gramont,0,11970,0,0
line:61,1900468,27_1197868,Balma-Gramont,0,11970,0,0
line:61,1900469,27_1197869,Balma-Gramont,0,11970,0,0
line:61,1900470,27_1197870,Balma-Gramont,0,11970,0,0
line:61,1900471,27_1197871,Balma-Gramont,0,11970,0,0
line:61,1900472,27_1197872,Balma-Gramont,0,11970,0,0
line:61,1900473,27_1197873,Balma-Gramont,0,11970,0,0
line:61,1900474,27_1197874,Balma-Gramont,0,11970,0,0
line:61,1900475,27_1197875,Balma-Gramont,0,11970,0,0
line:61,1900476,27_1197876,Balma-Gramont,0,11970,0,0
line:61,1900477,27_1197877,Balma-Gramont,0,11970,0,0
line:61,1900478,27_1197878,Balma-Gramont,0,11970,0,0
line:61,1900479,27_1197879,Balma-Gramont,0,11970,0,0
line:61,1900480,27_1197880,Balma-Gramont,0,11970,0,0
line:61,1900481,27_1197881,Balma-Gramont,0,11970,0,0
line:61,1900482,27_1197882,Balma-Gramont,0,11970,0,0
line:61,1900483,27_1197883,Balma-Gramont,0,11970,0,0
line:61,1900484,27_1197884,Balma-Gramont,0,11970,0,0
line:61,1900485,27_1197885,Balma-Gramont,0,11970,0,0
line:61,1900486,27_1197886,Balma-Gramont,0,11970,0,0
line:61,1900487,27_1197887,Balma-Gramont,0,11970,0,0
line:61,1900488,27_1197888,Balma-Gramont,0,11970,0,0
line:61,1900489,27_1197889,Balma-Gramont,0,11970,0,0
line:61,1900490,27_1197890,Balma-Gramont,0,11970,0,0
line:61,1900492,27_1197892,Balma-Gramont,0,11970,0,0
line:61,1900493,27_1197893,Balma-Gramont,0,11970,0,0
line:61,1900494,27_1197894,Balma-Gramont,0,11970,0,0
line:61,1900495,27_1197895,Balma-Gramont,0,11970,0,0
line:61,1900496,27_1197896,Balma-Gramont,0,11970,0,0
line:61,1900497,27_1197897,Balma-Gramont,0,11970,0,0
line:61,1900498,27_1197898,Balma-Gramont,0,11970,0,0
line:61,1900499,27_1197899,Balma-Gramont,0,11970,0,0
line:61,1900500,27_1197900,Balma-Gramont,0,11970,0,0
line:61,1900501,27_1197901,Balma-Gramont,0,11970,0,0
line:61,1900502,27_1197902,Balma-Gramont,0,11970,0,0
line:61,1900503,27_1197903,Balma-Gramont,0,11970,0,0
line:61,1900504,27_1197904,Balma-Gramont,0,11970,0,0
