route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1198693,1901292,1,Basso Cambo,11971
line:61,27_1198449,1901048,0,Balma-Gramont,11970
line:61,27_1199340,1901936,0,Balma-Gramont,11970
line:61,27_1197868,1900468,0,Balma-Gramont,11970
line:61,27_1198630,1901229,1,Basso Cambo,11971
line:61,27_1198760,1901359,1,Basso Cambo,11971
line:61,27_1199052,1901650,1,Basso Cambo,11971
line:61,27_1198056,1900656,1,Basso Cambo,11971
line:61,27_1198721,1901320,1,Basso Cambo,11971
line:61,27_1199073,1901671,1,Basso Cambo,11971
line:61,27_1198598,1901197,1,Basso Cambo,11971
line:61,27_1198632,1901231,1,Basso Cambo,11971
line:61,27_1197976,1900576,1,Basso Cambo,11971
line:61,27_1199452,1902047,1,Basso Cambo,11971
line:61,27_1197865,1900465,0,Balma-Gramont,11970
line:61,27_1198821,1901419,0,Balma-Gramont,11970
line:61,27_1199578,1902172,1,Basso Cambo,11971
line:61,27_1198707,1901306,1,Basso Cambo,11971
line:61,27_1198432,1901031,0,Balma-Gramont,11970
line:61,27_1198052,1900652,1,Basso Cambo,11971
line:61,27_1198015,1900615,1,Basso Cambo,11971
line:61,27_1199705,1902297,0,Balma-Gramont,11970
line:61,27_1199759,1902350,0,Balma-Gramont,11970
line:61,27_1199757,1902348,0,Balma-Gramont,11970
line:61,27_1199223,1901820,1,Basso Cambo,11971
line:61,27_1198265,1900865,1,Basso Cambo,11971
line:61,27_1199526,1902120,0,Balma-Gramont,11970
line:61,27_1198508,1901107,0,Balma-Gramont,11970
line:61,27_1197634,1900234,0,Balma-Gramont,11970
line:61,27_1200010,1902591,1,Basso Cambo,11971
line:61,27_1199840,1902429,0,Balma-Gramont,11970
line:61,27_1199392,1901988,1,Basso Cambo,11971
line:61,27_1198532,1901131,0,Balma-Gramont,11970
line:61,27_1198677,1901276,1,Basso Cambo,11971
line:61,27_1198290,1900890,1,Basso Cambo,11971
line:61,27_1199103,1901701,1,Basso Cambo,11971
line:61,27_1199448,1902043,1,Basso Cambo,11971
line:61,27_1198912,1901510,0,Balma-Gramont,11970
line:61,27_1197812,1900412,0,Balma-Gramont,11970
line:61,27_1199172,1901769,0,Balma-Gramont,11970
line:61,27_1199225,1901822,1,Basso Cambo,11971
line:61,27_1199217,1901814,1,Basso Cambo,11971
line:61,27_1198998,1901596,1,Basso Cambo,11971
line:61,27_1197965,1900565,1,Basso Cambo,11971
line:61,27_1198244,1900844,1,Basso Cambo,11971
line:61,27_1198867,1901465,0,Balma-Gramont,11970
line:61,27_1198622,1901221,1,Basso Cambo,11971
line:61,27_1198787,1901386,1,Basso Cambo,11971
line:61,27_1198424,1901023,0,Balma-Gramont,11970
line:61,27_1199176,1901773,0,Balma-Gramont,11970
line:61,27_1199206,1901803,0,Balma-Gramont,11970
line:61,27_1197687,1900287,0,Balma-Gramont,11970
line:61,27_1199614,1902207,0,Balma-Gramont,11970
line:61,27_1199123,1901721,1,Basso Cambo,11971
line:61,27_1199730,1902322,1,Basso Cambo,11971
line:61,27_1197772,1900372,0,Balma-Gramont,11970
line:61,27_1199343,1901939,0,Balma-Gramont,11970
line:61,27_1199907,1902491,0,Balma-Gramont,11970
line:61,27_1197705,1900305,0,Balma-Gramont,11970
line:61,27_1199066,1901664,1,Basso Cambo,11971
line:61,27_1197990,1900590,1,Basso Cambo,11971
line:61,27_1199781,1902372,1,Basso Cambo,11971
line:61,27_1197937,1900537,1,Basso Cambo,11971
line:61,27_1198903,1901501,0,Balma-Gramont,11970
line:61,27_1198847,1901445,0,Balma-Gramont,11970
line:61,27_1199451,1902046,1,Basso Cambo,11971
line:61,27_1334800,2063356,0,Balma-Gramont,11970
line:61,27_1198822,1901420,0,Balma-Gramont,11970
line:61,27_1199748,1902339,0,Balma-Gramont,11970
line:61,27_1198102,1900702,1,Basso Cambo,11971
line:61,27_1197953,1900553,1,Basso Cambo,11971
line:61,27_1199939,1902522,1,Basso Cambo,11971
line:61,27_1198096,1900696,1,Basso Cambo,11971
line:61,27_1197878,1900478,0,Balma-Gramont,11970
line:61,27_1199118,1901716,1,Basso Cambo,11971
line:61,27_1197968,1900568,1,Basso Cambo,11971
line:61,27_1198044,1900644,1,Basso Cambo,11971
line:61,27_1199213,1901810,1,Basso Cambo,11971
line:61,27_1198370,1900969,0,Balma-Gramont,11970
line:61,27_1197948,1900548,1,Basso Cambo,11971
line:61,27_1199530,1902124,0,Balma-Gramont,11970
line:61,27_1199558,1902152,1,Basso Cambo,11971
line:61,27_1197893,1900493,0,Balma-Gramont,11970
line:61,27_1198937,1901535,0,Balma-Gramont,11970
line:61,27_1197994,1900594,1,Basso Cambo,11971
line:61,27_1199036,1901634,1,Basso Cambo,11971
line:61,27_1199442,1902037,1,Basso Cambo,11971
line:61,27_1198785,1901384,1,Basso Cambo,11971
line:61,27_1198021,1900621,1,Basso Cambo,11971
line:61,27_1197776,1900376,0,Balma-Gramont,11970
line:61,27_1197801,1900401,0,Balma-Gramont,11970
line:61,27_1198697,1901296,1,Basso Cambo,11971
line:61,27_1198718,1901317,1,Basso Cambo,11971
line:61,27_1198074,1900674,1,Basso Cambo,11971
line:61,27_1197975,1900575,1,Basso Cambo,11971
line:61,27_1198722,1901321,1,Basso Cambo,11971
line:61,27_1199817,1902407,1,Basso Cambo,11971
line:61,27_1199441,1902036,1,Basso Cambo,11971
line:61,27_1198419,1901018,0,Balma-Gramont,11970
line:61,27_1199960,1902543,1,Basso Cambo,11971
line:61,27_1197630,1900230,0,Balma-Gramont,11970
line:61,27_1198108,1900708,1,Basso Cambo,11971
line:61,27_1197610,1900210,0,Balma-Gramont,11970
line:61,27_1198673,1901272,1,Basso Cambo,11971
line:61,27_1199244,1901841,1,Basso Cambo,11971
line:61,27_1199904,1902489,1,Basso Cambo,11971
line:61,27_1199449,1902044,1,Basso Cambo,11971
line:61,27_1197816,1900416,0,Balma-Gramont,11970
line:61,27_1199420,1902015,0,Balma-Gramont,11970
line:61,27_1198448,1901047,0,Balma-Gramont,11970
line:61,27_1198589,1901188,1,Basso Cambo,11971
line:61,27_1198146,1900746,1,Basso Cambo,11971
line:61,27_1199769,1902360,1,Basso Cambo,11971
line:61,27_1198997,1901595,1,Basso Cambo,11971
line:61,27_1199918,1902502,1,Basso Cambo,11971
line:61,27_1198834,1901432,0,Balma-Gramont,11970
line:61,27_1198741,1901340,1,Basso Cambo,11971
line:61,27_1199882,1902469,1,Basso Cambo,11971
line:61,27_1197663,1900263,0,Balma-Gramont,11970
line:61,27_1199229,1901826,1,Basso Cambo,11971
line:61,27_1198256,1900856,1,Basso Cambo,11971
line:61,27_1198278,1900878,1,Basso Cambo,11971
line:61,27_1200123,1902698,0,Balma-Gramont,11970
line:61,27_1197672,1900272,0,Balma-Gramont,11970
line:61,27_1198350,1900949,0,Balma-Gramont,11970
line:61,27_1199327,1901923,0,Balma-Gramont,11970
line:61,27_1199636,1902229,1,Basso Cambo,11971
line:61,27_1199467,1902062,1,Basso Cambo,11971
line:61,27_1199171,1901768,0,Balma-Gramont,11970
line:61,27_1198020,1900620,1,Basso Cambo,11971
line:61,27_1199191,1901788,0,Balma-Gramont,11970
line:61,27_1200127,1902702,1,Basso Cambo,11971
